Company,Symbol,companyLow,companyFinal
Reliv International ,RELV,reliv international ,reliv international
Relypsa ,RLYP,relypsa ,relypsa
Remark Holdings ,MARK,remark holdings ,remark holdings
Remy International ,REMY,remy international ,remy international
Renasant ,RNST,renasant ,renasant
Renewable Energy Group ,REGI,renewable energy group ,renewable energy group
Rennova Health ,RNVA,rennova health ,rennova health
RentACenter ,RCII,rentacenter ,rentacenter
Rentech ,RTK,rentech ,rentech
Rentrak oration,RENT,rentrak oration,rentrak oration
Repligen oration,RGEN,repligen oration,repligen oration
Republic Ban  KY,RBCAA,republic ban  ky,republic ban
Republic First Ban ,FRBK,republic first ban ,republic first ban
Republic Services ,RSG,republic services ,republic services
Research Frontiers ,REFR,research frontiers ,research frontiers
Research Holdings ,R,research holdings ,research holdings
ResMed,RMD,resmed,resmed
Resonant ,RESN,resonant ,resonant
Resource America ,REXI,resource america ,resource america
Resources Connection ,RECN,resources connection ,resources connection
Responsys ,MKTG,responsys ,responsys
RetailMeNot ,SALE,retailmenot ,retailmenot
Retalix Limited (Inactive),RTLX,retalix limited (inactive),retalix limited (inactive)
Retrophin ,RTRX,retrophin ,retrophin
Revance Therapeutics ,RVNC,revance therapeutics ,revance therapeutics
Reven Housing Reit ,RVEN,reven housing reit ,reven housing reit
Revo Biologics ,RBIO,revo biologics ,revo biologics
Revolution Lighting Technologies ,RVLT,revolution lighting technologies ,revolution lighting technologies
Rewalk Robotics ,RWLK,rewalk robotics ,rewalk robotics
Rex Energy oration,REXX,rex energy oration,rex energy oration
RF Industries ,RFIL,rf industries ,rf industries
RF Micro Devices  (Inactive),RFMD,rf micro devices  (inactive),rf micro devices
RF Monolithics  (Inactive),RFMI,rf monolithics  (inactive),rf monolithics
RG Barry ,DFZ,rg barry ,rg barry
RGC Resources ,RGCO,rgc resources ,rgc resources
RiceBran Technologies,RIBT,ricebran technologies,ricebran technologies
Richardson Electronics ,RELL,richardson electronics ,richardson electronics
Rigel Pharmaceuticals ,RIGL,rigel pharmaceuticals ,rigel pharmaceuticals
RightNow Technologies (Inactive),RNOW,rightnow technologies (inactive),rightnow technologies (inactive)
Rightside Group ,NAME,rightside group ,rightside group
RigNet ,RNET,rignet ,rignet
Ritter Pharmaceuticals ,RTTR,ritter pharmaceuticals ,ritter pharmaceuticals
River Valley Ban,RIVR,river valley ban,river valley ban
RiverBanc Multifamily Investors ,RMI,riverbanc multifamily investors ,riverbanc multifamily investors
Riverbed Technology ,RVBD,riverbed technology ,riverbed technology
Riverview Ban ,RVSB,riverview ban ,riverview ban
RLJ Entertainment ,RLJE,rlj entertainment ,rlj entertainment
RMG Networks Holding oration,RMGN,rmg networks holding oration,rmg networks holding
RMR Group ,RMR,rmr group ,rmr group
Robert Half International,RHI,robert half international,robert half international
Rochester Medical oration (Inactive),ROCM,rochester medical oration (inactive),rochester medical oration
Rocket Fuel ,FUEL,rocket fuel ,rocket fuel
Rockwell Automation ,ROK,rockwell automation ,rockwell automation
Rockwell Medical ,RMTI,rockwell medical ,rockwell medical
Rocky Brands ,RCKY,rocky brands ,rocky brands
Rocky Mountain Chocolate Factory ,RMCF,rocky mountain chocolate factory ,rocky mountain chocolate
RofinSinar Technologies,RSTI,rofinsinar technologies,rofinsinar technologies
Roka Bioscience ,ROKA,roka bioscience ,roka bioscience
Rollins ,ROL,rollins ,rollins
Roma Financial oration (Inactive),ROMA,roma financial oration (inactive),roma financial oration
Root9B Holdings ,RTNB,root9b holdings ,root9b holdings
Roper Technologies,ROP,roper technologies,roper technologies
Rosetta Genomics  (USA),ROSG,rosetta genomics  (usa),rosetta genomics
Ross Stores,ROST,ross stores,ross stores
Royal Bancshares of Pennsylvania ,RBPAA,royal bancshares of pennsylvania ,royal bancshares of
Royal Bank Of Canada  Royal Bank of Canada ETN Linked S&P 500 Trend Allocator PR Index,TALL,royal bank of canada  royal bank of canada etn linked s&p 500 trend allocator pr index,royal bank of
Royal Caribbean Cruises Ltd,RCL,royal caribbean cruises ltd,royal caribbean cruises
Royal Gold  (USA),RGLD,royal gold  (usa),royal gold
RPX ,RPXC,rpx ,rpx
RR Media ,RRM,rr media ,rr media
RTI Surgical ,RTIX,rti surgical ,rti surgical
Rubicon Technology ,RBCN,rubicon technology ,rubicon technology
rue21  (Inactive),RUE,rue21  (inactive),rue21 (inactive)
Ruth's Hospitality Group ,RUTH,ruth's hospitality group ,ruth's hospitality group
RXi Pharmaceuticals ,RXII,rxi pharmaceuticals ,rxi pharmaceuticals
Ryanair Holdings  (ADR),RYAAY,ryanair holdings  (adr),ryanair holdings
S & T Ban ,STBA,s & t ban ,s & t
SY Ban   Cumulative Trust Preferred Stock,SYBTP,sy ban   cumulative trust preferred stock,sy ban
S&P Emerging Markets Infrastruct Ind Fd,EMIF,s&p emerging markets infrastruct ind fd,s&p emerging markets
S&P Global ,SPGI,s&p global ,s&p global
S1  (Inactive),SONE,s1  (inactive),s1 (inactive)
Sabre ,SABR,sabre ,sabre
SAExploration Holdings ,SAEX,saexploration holdings ,saexploration holdings
Safety Insurance Group ,SAFT,safety insurance group ,safety insurance group
SAGE Therapeutics ,SAGE,sage therapeutics ,sage therapeutics
Sagent Pharmaceuticals ,SGNT,sagent pharmaceuticals ,sagent pharmaceuticals
Saia ,SAIA,saia ,saia
Sajan ,SAJA,sajan ,sajan
Salem Media Group ,SALM,salem media group ,salem media group
Salesforce,CRM,salesforce,salesforce
Salisbury Ban ,SAL,salisbury ban ,salisbury ban
Salix Pharmaceuticals ,SLXP,salix pharmaceuticals ,salix pharmaceuticals
Sanderson Farms ,SAFM,sanderson farms ,sanderson farms
SanDisk oration,SNDK,sandisk oration,sandisk oration
Sandy Spring Ban ,SASR,sandy spring ban ,sandy spring ban
Sangamo Therapeutics ,SGMO,sangamo therapeutics ,sangamo therapeutics
Sanmina ,SANM,sanmina ,sanmina
Santa Maria Energy ,SMEC,santa maria energy ,santa maria energy
Santarus  (Inactive),SNTS,santarus  (inactive),santarus (inactive)
Sapiens International oration NV,SPNS,sapiens international oration nv,sapiens international oration
Sapient ,SAPE,sapient ,sapient
Sarepta Therapeutics ,SRPT,sarepta therapeutics ,sarepta therapeutics
Savara ,SVRA,savara ,savara
SBA Communications,SBAC,sba communications,sba communications
ScanSource ,SCSC,scansource ,scansource
Schlumberger Ltd,SLB,schlumberger ltd,schlumberger ltd
Schmitt Industries ,SMIT,schmitt industries ,schmitt industries
Schnitzer Steel Industries ,SCHN,schnitzer steel industries ,schnitzer steel industries
Scholastic ,SCHL,scholastic ,scholastic
SciClone Pharmaceuticals ,SCLN,sciclone pharmaceuticals ,sciclone pharmaceuticals
Scientific Games ,SGMS,scientific games ,scientific games
SciQuest ,SQI,sciquest ,sciquest
Scripps Networks Interactive ,SNI,scripps networks interactive ,scripps networks interactive
SCYNEXIS ,SCYX,scynexis ,scynexis
SeaChange International,SEAC,seachange international,seachange international
Seacoast Banking oration of Florida,SBCF,seacoast banking oration of florida,seacoast banking oration
Seagate Technology,STX,seagate technology,seagate technology
Sealed Air,SEE,sealed air,sealed air
Seanergy Maritime Holdings ,SHIP,seanergy maritime holdings ,seanergy maritime holdings
Sears Canada ,SRSC,sears canada ,sears canada
Sears Holdings ,SHLD,sears holdings ,sears holdings
Sears Holdings oration,SHLDV,sears holdings oration,sears holdings oration
Sears Hometown and Outlet Stores ,SHOS,sears hometown and outlet stores ,sears hometown and
SeaSpine Holdings ,SPNE,seaspine holdings ,seaspine holdings
Seattle Genetics ,SGEN,seattle genetics ,seattle genetics
Second Sight Medical Products ,EYES,second sight medical products ,second sight medical
Secureworks ,SCWX,secureworks ,secureworks
Security National Financial ,SNFCA,security national financial ,security national financial
SEI Investments Company,SEIC,sei investments company,sei investments company
Select Ban ,SLCT,select ban ,select ban
Select Comfort ,SCSS,select comfort ,select comfort
Select ome REIT,SIR,select ome reit,select ome reit
Selecta Biosciences ,SELB,selecta biosciences ,selecta biosciences
Selective Insurance Group,SIGI,selective insurance group,selective insurance group
SemiLEDs oration,LEDS,semileds oration,semileds oration
Sempra Energy,SRE,sempra energy,sempra energy
Semtech oration,SMTC,semtech oration,semtech oration
SenesTech ,SNES,senestech ,senestech
Senior Housing Properties Trust,SNH,senior housing properties trust,senior housing properties
Senomyx ,SNMX,senomyx ,senomyx
Sequenom ,SQNM,sequenom ,sequenom
Sequential Brands Group ,SQBG,sequential brands group ,sequential brands group
SeraCare Life Sciences  (Inactive),SRLS,seracare life sciences  (inactive),seracare life sciences
Seres Therapeutics ,MCRB,seres therapeutics ,seres therapeutics
ServiceNow,NOW,servicenow,servicenow
Servicesource International ,SREV,servicesource international ,servicesource international
ServisFirst Bancshares ,SFBS,servisfirst bancshares ,servisfirst bancshares
Sevcon ,SEV,sevcon ,sevcon
Severn Ban ,SVBI,severn ban ,severn ban
SG Blocks ,SGBX,sg blocks ,sg blocks
SGOCO Group ,SGOC,sgoco group ,sgoco group
Shanda Games Limited(ADR),GAME,shanda games limited(adr),shanda games limited(adr)
Shanda Interactive Entertainment  ADR (Inactive),SNDA,shanda interactive entertainment  adr (inactive),shanda interactive entertainment
Sharps Compliance ,SMED,sharps compliance ,sharps compliance
SharpSpring ,SHSP,sharpspring ,sharpspring
Shenandoah Telecommunications Company,SHEN,shenandoah telecommunications company,shenandoah telecommunications company
Sherwin-Williams,SHW,sherwin-williams,sherwin-williams
SHFL entertainment  (Inactive),SHFL,shfl entertainment  (inactive),shfl entertainment
ShiftPixy  Common Stock,PIXY,shiftpixy  common stock,shiftpixy common
Shiloh Industries ,SHLO,shiloh industries ,shiloh industries
Shimmick Construction Company ,SCCI,shimmick construction company ,shimmick construction company
Shineco ,TYHT,shineco ,shineco
Shire  (ADR),SHPG,shire  (adr),shire (adr)
Shire Viropharma ,VPHM,shire viropharma ,shire viropharma
Shoe Carnival ,SCVL,shoe carnival ,shoe carnival
Shore Bancshares ,SHBI,shore bancshares ,shore bancshares
ShoreTel ,SHOR,shoretel ,shoretel
Shotspotter ,SSTI,shotspotter ,shotspotter
Shutterfly ,SFLY,shutterfly ,shutterfly
SI Financial Group ,SIFI,si financial group ,si financial group
Siebert Financial ,SIEB,siebert financial ,siebert financial
Sientra ,SIEN,sientra ,sientra
Sierra Ban,BSRR,sierra ban,sierra ban
Sierra Oncology ,SRRA,sierra oncology ,sierra oncology
Sierra Wireless  (USA),SWIR,sierra wireless  (usa),sierra wireless
Sify Technologies Limited (ADR),SIFY,sify technologies limited (adr),sify technologies limited
Sigma Designs ,SIGM,sigma designs ,sigma designs
Sigma Labs ,SGLB,sigma labs ,sigma labs
SigmaAldrich oration,SIAL,sigmaaldrich oration,sigmaaldrich oration
SigmaTron International,SGMA,sigmatron international,sigmatron international
Signature Bank,SBNY,signature bank,signature bank
Silgan Holdings ,SLGN,silgan holdings ,silgan holdings
Silicom ,SILC,silicom ,silicom
Silicon Graphics International ,SGI,silicon graphics international ,silicon graphics international
Silicon Image ,SIMG,silicon image ,silicon image
Silicon Laboratories,SLAB,silicon laboratories,silicon laboratories
Silicon Motion Technology  (ADR),SIMO,silicon motion technology  (adr),silicon motion technology
Siliconware Precision Industries (ADR),SPIL,siliconware precision industries (adr),siliconware precision industries
Silver Standard Resources  (USA),SSRI,silver standard resources  (usa),silver standard resources
Silvercrest Asset Management Group ,SAMG,silvercrest asset management group ,silvercrest asset management
SilverSun Technologies ,SSNT,silversun technologies ,silversun technologies
Simmons First National oration,SFNC,simmons first national oration,simmons first national
Simon Property Group ,SPG,simon property group ,simon property group
Simplicity Ban ,SMPL,simplicity ban ,simplicity ban
Simulations Plus ,SLP,simulations plus ,simulations plus
SINA ,SINA,sina ,sina
SinoGlobal Shipping America ,SINO,sinoglobal shipping america ,sinoglobal shipping america
Sinovac Biotech ,SVA,sinovac biotech ,sinovac biotech
Sirius XM Holdings ,SIRI,sirius xm holdings ,sirius xm holdings
Sirona Dental Systems ,SIRO,sirona dental systems ,sirona dental systems
Sirva ,SRVA,sirva ,sirva
Sito Mobile ,SITO,sito mobile ,sito mobile
Sizmek ,SZMK,sizmek ,sizmek
Sizmek Technologies ,MDMD,sizmek technologies ,sizmek technologies
Skullcandy ,SKUL,skullcandy ,skullcandy
Sky Solar Holdings  (ADR),SKYS,sky solar holdings  (adr),sky solar holdings
Skymobi  (ADR),MOBI,skymobi  (adr),skymobi (adr)
SkyWest ,SKYW,skywest ,skywest
Skyworks Solutions,SWKS,skyworks solutions,skyworks solutions
SL Green Realty,SLG,sl green realty,sl green realty
Slair Broadcast Group ,SBGI,slair broadcast group ,slair broadcast group
Slair Television of Seattle ,FSCI,slair television of seattle ,slair television of
Smart Global Holdings ,SGH,smart global holdings ,smart global holdings
Smart Sand ,SND,smart sand ,smart sand
Smart Sand Partners ,SSLP,smart sand partners ,smart sand partners
SMART Technologies ,SMT,smart technologies ,smart technologies
SmartFinancial ,SMBK,smartfinancial ,smartfinancial
SmartPros ,SPRO,smartpros ,smartpros
Smith Electric Vehicles ,SMTH,smith electric vehicles ,smith electric vehicles
Smith Micro Software ,SMSI,smith micro software ,smith micro software
SMTC oration (USA),SMTX,smtc oration (usa),smtc oration (usa)
Snap-on,SNA,snap-on,snap-on
Snyder'sLance ,LNCE,snyder'slance ,snyder'slance
Social Reality ,SRAX,social reality ,social reality
Socket Mobile ,SCKT,socket mobile ,socket mobile
Sodastream International ,SODA,sodastream international ,sodastream international
Sohu ,SOHU,sohu ,sohu
Solar Capital ,SLRC,solar capital ,solar capital
Solar Senior Capital ,SUNS,solar senior capital ,solar senior capital
SolarCity ,SCTY,solarcity ,solarcity
Solaredge Technologies ,SEDG,solaredge technologies ,solaredge technologies
Soleno Therapeutics ,SLNO,soleno therapeutics ,soleno therapeutics
Soligenix ,SNGX,soligenix ,soligenix
Solta Medical ,SLTM,solta medical ,solta medical
Somerset Hills Ban (Inactive),SOMH,somerset hills ban (inactive),somerset hills ban
Sonic oration,SONC,sonic oration,sonic oration
Sonic Foundry ,SOFO,sonic foundry ,sonic foundry
Sonoma Pharmaceuticals ,SNOA,sonoma pharmaceuticals ,sonoma pharmaceuticals
Sonus Networks ,SONS,sonus networks ,sonus networks
Sooner Holdings ,SYNM,sooner holdings ,sooner holdings
Sophiris Bio ,SPHS,sophiris bio ,sophiris bio
Sorl Auto Parts ,SORL,sorl auto parts ,sorl auto parts
Sorrento Therapeutics ,SRNE,sorrento therapeutics ,sorrento therapeutics
Sound Financial Ban ,SFBC,sound financial ban ,sound financial ban
SoundBite Communications ,SDBT,soundbite communications ,soundbite communications
Sourcefire LLC (Inactive),FIRE,sourcefire llc (inactive),sourcefire llc (inactive)
South State oration,SSB,south state oration,south state oration
Southcoast Financial oration,SOCB,southcoast financial oration,southcoast financial oration
Southern Community Financial ,SCMF,southern community financial ,southern community financial
Southern Company,SO,southern company,southern company
Southern First Bancshares ,SFST,southern first bancshares ,southern first bancshares
Southern Missouri Ban ,SMBC,southern missouri ban ,southern missouri ban
Southern National Banc of Virginia ,SONA,southern national banc of virginia ,southern national banc
Southside Bancshares ,SBSI,southside bancshares ,southside bancshares
Southwest Airlines,LUV,southwest airlines,southwest airlines
SP Ban ,SPBC,sp ban ,sp ban
SP Plus ,SP,sp plus ,sp plus
SpanAmerica Medical Systems ,SPAN,spanamerica medical systems ,spanamerica medical systems
SPAR Group ,SGRP,spar group ,spar group
Spark Therapeutics ,ONCE,spark therapeutics ,spark therapeutics
Spartan Motors ,SPAR,spartan motors ,spartan motors
SpartanNash Co,SPTN,spartannash co,spartannash co
SPDR Dorsey Wright Fixed ome Allocation ETF,DWFI,spdr dorsey wright fixed ome allocation etf,spdr dorsey wright
Spectranetics ,SPNC,spectranetics ,spectranetics
Spectrum Pharmaceuticals ,SPPI,spectrum pharmaceuticals ,spectrum pharmaceuticals
Sphere 3D ,ANY,sphere 3d ,sphere 3d
Spherix ,SPEX,spherix ,spherix
Spi Energy Co  (ADR),SPI,spi energy co  (adr),spi energy co
Spirit Airlines orporated,SAVE,spirit airlines orporated,spirit airlines orporated
Splunk ,SPLK,splunk ,splunk
Spok Holdings ,USMO,spok holdings ,spok holdings
Sportsman's Warehouse Holdings ,SPWH,sportsman's warehouse holdings ,sportsman's warehouse holdings
Spreadtrum Communications  (ADR),SPRD,spreadtrum communications  (adr),spreadtrum communications
Spring Bank Pharmaceuticals ,SBPH,spring bank pharmaceuticals ,spring bank pharmaceuticals
Sprott Focus Trust   Closed End Fund,FUND,sprott focus trust   closed end fund,sprott focus trust
Sprouts Farmers Market ,SFM,sprouts farmers market ,sprouts farmers market
SPS Commerce ,SPSC,sps commerce ,sps commerce
Square 1 Financial ,SQBK,square 1 financial ,square 1 financial
SRS Labs  (Inactive),SRSL,srs labs  (inactive),srs labs
SS&C Technologies Holdings ,SSNC,ss&c technologies holdings ,ss&c technologies holdings
STAAR Surgical Company,STAA,staar surgical company,staar surgical company
Staffing 360 Solutions ,STAF,staffing 360 solutions ,staffing 360 solutions
Stamps ,STMP,stamps ,stamps
Standard Microsystems oration (Inactive),SMSC,standard microsystems oration (inactive),standard microsystems oration
Stanley Black & Decker,SWK,stanley black & decker,stanley black &
Stanley Furniture Co,STLY,stanley furniture co,stanley furniture co
Staples ,SPLS,staples ,staples
Star Bulk Carriers ,SBLK,star bulk carriers ,star bulk carriers
Starbucks ,SBUX,starbucks ,starbucks
State Auto Financial ,STFC,state auto financial ,state auto financial
State Ban /NY (Inactive),STBC,state ban /ny (inactive),state ban /ny
State Bank Financial ,STBZ,state bank financial ,state bank financial
State Investors Ban ,SIBC,state investors ban ,state investors ban
State National Companies ,SNC,state national companies ,state national companies
State Street ,STT,state street ,state street
Statoil Exploration Co (Inactive),BEXP,statoil exploration co (inactive),statoil exploration co
Steadymed ,STDY,steadymed ,steadymed
StealthGas ,GASS,stealthgas ,stealthgas
Steel Dynamics ,STLD,steel dynamics ,steel dynamics
Stein Mart ,SMRT,stein mart ,stein mart
Steiner Leisure ,STNR,steiner leisure ,steiner leisure
Stellar Biotechnologies ,SBOT,stellar biotechnologies ,stellar biotechnologies
Stellarone  (Inactive),STEL,stellarone  (inactive),stellarone (inactive)
Stemline Therapeutics ,STML,stemline therapeutics ,stemline therapeutics
STERIS plc,STE,steris plc,steris plc
Sterling Construction Company ,STRL,sterling construction company ,sterling construction company
Sterling Financial oration,STSA,sterling financial oration,sterling financial oration
Steven Madden ,SHOO,steven madden ,steven madden
Stewardship Financial oration,SSFN,stewardship financial oration,stewardship financial oration
Stewart Enterprises ,STEI,stewart enterprises ,stewart enterprises
Stock Yards Ban ,SYBT,stock yards ban ,stock yards ban
StoneCastle Financial ,BANX,stonecastle financial ,stonecastle financial
Stonegate Bank,SGBK,stonegate bank,stonegate bank
Strata Skin Sciences ,SSKN,strata skin sciences ,strata skin sciences
Stratasys ,SSYS,stratasys ,stratasys
Strattec Security ,STRT,strattec security ,strattec security
Stratus Properties ,STRS,stratus properties ,stratus properties
Strayer Education ,STRA,strayer education ,strayer education
Streamline Health Solutions ,STRM,streamline health solutions ,streamline health solutions
Strongbridge Biopharma ,SBBP,strongbridge biopharma ,strongbridge biopharma
Stryker ,SYK,stryker ,stryker
Student Transportation ,STB,student transportation ,student transportation
Sucampo Pharmaceuticals ,SCMP,sucampo pharmaceuticals ,sucampo pharmaceuticals
Summer Infant ,SUMR,summer infant ,summer infant
Summit Financial Group ,SMMF,summit financial group ,summit financial group
Summit State Bank,SSBI,summit state bank,summit state bank
Summit Therapeutics  (ADR),SMMT,summit therapeutics  (adr),summit therapeutics
Sun Ban  /NJ,SNBC,sun ban  /nj,sun ban
Sun Healthcare Group  (Inactive),SUNH,sun healthcare group  (inactive),sun healthcare group
Sun Hydraulics oration,SNHY,sun hydraulics oration,sun hydraulics oration
Sundance Energy Australia ,SNDE,sundance energy australia ,sundance energy australia
Sunedison Semiconductor ,SEMI,sunedison semiconductor ,sunedison semiconductor
Sunesis Pharmaceuticals ,SNSS,sunesis pharmaceuticals ,sunesis pharmaceuticals
Sungy Mobile ,GOMO,sungy mobile ,sungy mobile
SunOpta  (USA),STKL,sunopta  (usa),sunopta (usa)
Sunrun ,RUN,sunrun ,sunrun
Sunshine Ban ,SBCP,sunshine ban ,sunshine ban
Sunshine Heart ,CHFS,sunshine heart ,sunshine heart
Sunworks ,SUNW,sunworks ,sunworks
Super Micro Computer ,SMCI,super micro computer ,super micro computer
Supercom ,SPCB,supercom ,supercom
Superconductor Technologies ,SCON,superconductor technologies ,superconductor technologies
Superior Uniform Group ,SGC,superior uniform group ,superior uniform group
SuperMedia  (Inactive),SPMD,supermedia  (inactive),supermedia (inactive)
Supernus Pharmaceuticals ,SUPN,supernus pharmaceuticals ,supernus pharmaceuticals
Supertex ,SUPX,supertex ,supertex
Support ,SPRT,support ,support
SureWest Communications (Inactive),SURW,surewest communications (inactive),surewest communications (inactive)
Surgery Partners ,SGRY,surgery partners ,surgery partners
Surgical Care Affiliates ,SCAI,surgical care affiliates ,surgical care affiliates
SurModics ,SRDX,surmodics ,surmodics
Susquehanna Bancshares ,SUSQ,susquehanna bancshares ,susquehanna bancshares
Sussex Ban,SBBX,sussex ban,sussex ban
Sutron oration,STRN,sutron oration,sutron oration
SVB Financial,SIVB,svb financial,svb financial
SVB Financial Group  7% Cumulative Trust Preferred Securities  SVB Capital II,SIVBO,svb financial group  7% cumulative trust preferred securities  svb capital ii,svb financial group
Sykes Enterprises orporated,SYKE,sykes enterprises orporated,sykes enterprises orporated
Symantec oration,SYMC,symantec oration,symantec oration
Symmetry Surgical ,SSRG,symmetry surgical ,symmetry surgical
Synacor ,SYNC,synacor ,synacor
Synageva Biopharma ,GEVA,synageva biopharma ,synageva biopharma
Synalloy oration,SYNL,synalloy oration,synalloy oration
Synaptics orporated,SYNA,synaptics orporated,synaptics orporated
Synchronoss Technologies ,SNCR,synchronoss technologies ,synchronoss technologies
Synchrony Financial,SYF,synchrony financial,synchrony financial
Syndax Pharmaceuticals ,SNDX,syndax pharmaceuticals ,syndax pharmaceuticals
Synergetics USA ,SURG,synergetics usa ,synergetics usa
Synergy Health North America  (Inactive),STRC,synergy health north america  (inactive),synergy health north
Syneron Medical ,ELOS,syneron medical ,syneron medical
Synopsys ,SNPS,synopsys ,synopsys
Synovis Life Technologies  (Inactive),SYNO,synovis life technologies  (inactive),synovis life technologies
Syntel ,SYNT,syntel ,syntel
Synthesis Energy Systems ,SYMX,synthesis energy systems ,synthesis energy systems
Synutra International ,SYUT,synutra international ,synutra international
Sypris Solutions ,SYPR,sypris solutions ,sypris solutions
Syros Pharmaceuticals ,SYRS,syros pharmaceuticals ,syros pharmaceuticals
Sysco ,SYY,sysco ,sysco
T-Mobile US,TMUS,t-mobile us,t-mobile us
T Rowe Price Group,TROW,t rowe price group,t rowe price
TAT Technologies ,TATT,tat technologies ,tat technologies
T2 Biosystems ,TTOO,t2 biosystems ,t2 biosystems
Tabula Rasa HealthCare ,TRHC,tabula rasa healthcare ,tabula rasa healthcare
Tactile Systems Technology ,TCMD,tactile systems technology ,tactile systems technology
Taggares Agriculture ,TAG,taggares agriculture ,taggares agriculture
Taitron Components ,TAIT,taitron components ,taitron components
Take-Two Interactive,TTWO,take-two interactive,take-two interactive
Talend SA ADR,TLND,talend sa adr,talend sa adr
Talmer Ban ,TLMR,talmer ban ,talmer ban
Tandem Diabetes Care ,TNDM,tandem diabetes care ,tandem diabetes care
Tandy Leather Factory ,TLF,tandy leather factory ,tandy leather factory
Tantech Holdings ,TANH,tantech holdings ,tantech holdings
Tapestry ,TPR,tapestry ,tapestry
TapImmune ,TPIV,tapimmune ,tapimmune
Tarena International (ADR),TEDU,tarena international (adr),tarena international (adr)
Target ,TGT,target ,target
Taylor Devices ,TAYD,taylor devices ,taylor devices
TCG BDC ,CGBD,tcg bdc ,tcg bdc
TCP Capital ,TCPC,tcp capital ,tcp capital
TD Ameritrade Holding ,AMTD,td ameritrade holding ,td ameritrade holding
TE Connectivity Ltd,TEL,te connectivity ltd,te connectivity ltd
TearLab ,TEAR,tearlab ,tearlab
Tech Data ,TECD,tech data ,tech data
Technical Communications oration,TCCO,technical communications oration,technical communications oration
TechnipFMC,FTI,technipfmc,technipfmc
TechTarget ,TTGT,techtarget ,techtarget
Tecogen ,TGEN,tecogen ,tecogen
Tecumseh Products Company,TECU,tecumseh products company,tecumseh products company
Tekelec Global  (Inactive),TKLC,tekelec global  (inactive),tekelec global
TEL FSI  (Inactive),FSII,tel fsi  (inactive),tel fsi
TeleCommunication Systems ,TSYS,telecommunication systems ,telecommunication systems
Teledyne LeCroy  (Inactive),LCRY,teledyne lecroy  (inactive),teledyne lecroy
Teleflex,TFX,teleflex,teleflex
Telefonaktiebolaget LM Ericsson,ERIC,telefonaktiebolaget lm ericsson,telefonaktiebolaget lm ericsson
Telefonos de Mexico SA (ADR) (Inactive),TFONY,telefonos de mexico sa (adr) (inactive),telefonos de mexico
Telenav ,TNAV,telenav ,telenav
TeleTech Holdings ,TTEC,teletech holdings ,teletech holdings
Teligent ,TLGT,teligent ,teligent
Tellabs  (Inactive),TLAB,tellabs  (inactive),tellabs (inactive)
Tellurian ,TELL,tellurian ,tellurian
Telular oration (Inactive),WRLS,telular oration (inactive),telular oration (inactive)
Tenax Therapeutics ,TENX,tenax therapeutics ,tenax therapeutics
TerraForm Global ,GLBL,terraform global ,terraform global
TerraForm Power ,TERP,terraform power ,terraform power
TerraVia Holdings ,TVIA,terravia holdings ,terravia holdings
Territorial Ban ,TBNK,territorial ban ,territorial ban
TESARO ,TSRO,tesaro ,tesaro
Tesco oration (USA),TESO,tesco oration (usa),tesco oration (usa)
Tesla ,TSLA,tesla ,tesla
TESSCO Technologies ,TESS,tessco technologies ,tessco technologies
Tetra Tech ,TTEK,tetra tech ,tetra tech
Tetraphase Pharmaceuticals ,TTPH,tetraphase pharmaceuticals ,tetraphase pharmaceuticals
Texas Instruments,TXN,texas instruments,texas instruments
Texas Roadhouse ,TXRH,texas roadhouse ,texas roadhouse
Textron ,TXT,textron ,textron
TF Financial  (Inactive),THRD,tf financial  (inactive),tf financial
TFS Financial oration,TFSL,tfs financial oration,tfs financial oration
TG Therapeutics ,TGTX,tg therapeutics ,tg therapeutics
The Advisory Board Company,ABCO,the advisory board company,the advisory board
The Bank of New York Mellon,BK,the bank of new york mellon,the bank of
The Carlyle Group ,CG,the carlyle group ,the carlyle group
The Clorox Company,CLX,the clorox company,the clorox company
The Cooper Companies,COO,the cooper companies,the cooper companies
The Ensign Group ,ENSG,the ensign group ,the ensign group
The Fresh Market ,TFM,the fresh market ,the fresh market
The Goodyear Tire & Rubber Company  Convertible Preferred Stock,GTPPP,the goodyear tire & rubber company  convertible preferred stock,the goodyear tire
The Gymboree oration,GYMB,the gymboree oration,the gymboree oration
The Hackett Group ,HCKT,the hackett group ,the hackett group
The Health and Fitness ETF,FITS,the health and fitness etf,the health and
The Hershey Company,HSY,the hershey company,the hershey company
The LongTerm Care ETF,OLD,the longterm care etf,the longterm care
The Medicines Company,MDCO,the medicines company,the medicines company
The Mosaic Company,MOS,the mosaic company,the mosaic company
The Obesity ETF,SLIM,the obesity etf,the obesity etf
The Organics ETF,ORG,the organics etf,the organics etf
The Providence Service oration,PRSC,the providence service oration,the providence service
The Restaurant ETF,BITE,the restaurant etf,the restaurant etf
The Savannah Ban  (Inactive),SAVB,the savannah ban  (inactive),the savannah ban
The Travelers Companies ,TRV,the travelers companies ,the travelers companies
The Ultimate Software Group ,ULTI,the ultimate software group ,the ultimate software
The Walt Disney Company,DIS,the walt disney company,the walt disney
The9 Limited (ADR),NCTY,the9 limited (adr),the9 limited (adr)
Therapix Biosciences   American Depositary Shares,TRPX,therapix biosciences   american depositary shares,therapix biosciences
Theravance ,THRXV,theravance ,theravance
Theravance Biopharma ,TBPH,theravance biopharma ,theravance biopharma
